COUNTRY,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Argentina,34,-,-,-,-,16,22,38,42,-,-,41,36,43,-
Australia,-,59,-,-,-,-,46,-,-,-,-,66,-,63,60
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,76,-,-
Bolivia,-,-,-,-,-,-,-,-,-,-,-,55,-,-,-
Brazil,-,-,-,-,-,-,-,-,62,62,61,73,65,73,-
Bulgaria,72,-,-,-,-,51,-,-,-,-,-,-,-,-,-
Burkina Faso,-,-,-,-,-,-,-,-,-,-,-,-,-,79,-
Canada,72,63,-,59,-,55,-,68,-,-,-,64,-,68,65
Chile,-,-,-,-,-,55,-,-,-,-,-,68,72,68,-
China,-,-,-,42,47,34,41,47,58,44,43,40,50,44,50
Colombia,-,-,-,-,-,-,-,-,-,-,-,-,64,-,-
Czech Republic,71,-,-,-,-,45,-,-,-,-,54,58,-,-,-
Egypt,-,-,-,-,30,21,22,27,17,20,19,16,10,-,-
El Salvador,-,-,-,-,-,-,-,-,-,-,-,79,80,-,-
Ethiopia,-,-,-,-,-,-,-,-,-,-,-,-,-,81,-
France,62,42,37,43,39,39,42,75,73,75,69,64,75,73,63
Germany,60,45,38,42,37,30,31,64,63,62,52,53,51,50,57
Ghana,83,-,-,-,-,80,-,-,-,-,-,83,77,89,-
Greece,-,-,-,-,-,-,-,-,-,-,35,39,34,-,38
Guatemala,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hungary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62
India,-,-,-,-,-,-,-,-,-,-,-,56,55,70,56
Indonesia,-,-,-,38,30,29,37,63,59,54,-,61,59,62,-
Israel,-,78,-,-,-,78,-,71,-,72,-,83,84,81,-
Italy,70,60,-,-,-,53,-,-,-,-,74,76,78,83,72
Ivory Coast,85,-,-,-,-,88,-,-,-,-,-,-,-,-,-
Japan,72,-,-,-,63,61,50,59,66,85,72,69,66,68,72
Jordan,25,1,5,21,15,20,19,25,21,13,12,14,12,14,-
Kenya,80,-,-,-,-,87,-,90,94,83,-,81,80,84,-
Kuwait,-,63,-,-,-,46,-,-,-,-,-,-,-,-,-
Lebanon,36,27,-,42,-,47,51,55,52,49,48,47,41,39,-
Lithuania,-,-,-,-,-,-,-,-,-,73,-,-,-,-,-
Malaysia,-,-,-,-,-,27,-,-,-,-,-,55,51,54,-
Mali,-,-,-,-,-,79,-,-,-,-,-,-,-,-,-
Mexico,64,-,-,-,-,56,47,69,56,52,56,66,63,66,-
Morocco,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-
Netherlands,-,-,-,45,-,-,-,-,-,-,-,-,-,-,63
Nicaragua,-,-,-,-,-,-,-,-,-,-,-,-,71,-,-
Nigeria,-,-,-,-,-,-,-,-,81,-,-,69,69,76,-
Pakistan,10,-,21,23,27,15,19,16,17,12,12,11,14,22,-
Palestinian ter.,-,-,-,-,-,13,-,15,-,18,-,16,30,26,-
Peru,67,-,-,-,-,61,-,-,-,-,-,-,65,70,-
Philippines,90,-,-,-,-,-,-,-,-,-,-,85,92,92,-
Poland,79,-,-,62,-,61,68,67,74,70,69,67,73,74,74
Russia,61,37,46,52,43,41,46,44,57,56,52,51,23,15,-
Senegal,-,-,-,-,-,-,-,-,-,-,-,81,74,80,-
Slovakia,60,-,-,-,-,41,-,-,-,-,-,-,-,-,-
South Africa,65,-,-,-,-,-,60,-,-,-,-,72,68,74,-
South Korea,52,46,-,-,-,58,70,78,79,-,-,78,82,84,-
Spain,-,38,-,41,23,34,33,58,61,64,58,62,60,65,59
Sweden,-,-,-,-,-,46,-,-,-,-,-,-,-,-,69
Tanzania,53,-,-,-,-,46,65,-,-,-,-,-,75,78,-
Thailand,-,-,-,-,-,-,-,-,-,-,-,-,73,-,-
Tunisia,-,-,-,-,-,-,-,-,-,-,45,42,42,-,-
Turkey,30,15,30,23,12,9,12,14,17,10,15,21,19,29,-
Uganda,74,-,-,-,-,64,-,-,-,-,-,73,62,76,-
Ukraine,-,-,-,-,-,-,-,-,-,-,-,-,68,69,-
United Kingdom,75,70,58,55,56,51,53,69,65,61,60,58,66,65,61
United States,-,-,-,83,76,80,84,88,85,79,80,81,82,83,83
Uzbekistan,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,-,-,-,-,-,-,-,-,-,-,-,53,62,51,-
Vietnam,-,-,-,-,-,-,-,-,-,-,-,-,76,78,-
